INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
Andrew College,Cuthbert,GA,19126.0,19126.0,0.2696
Point University,West Point,GA,22300.0,22300.0,0.4044
Atlanta Metropolitan State College,Atlanta,GA,3105.0,9731.0,0.1429
Clark Atlanta University,Atlanta,GA,26446.0,26446.0,0.478
Berry College,Mount Berry,GA,40416.0,40416.0,0.7391
Beulah Heights University,Atlanta,GA,8492.0,8492.0,0.1667
Brenau University,Gainesville,GA,33275.0,33275.0,0.3536
Brewton-Parker College,Mount Vernon,GA,21696.0,21696.0,0.2349
College of Coastal Georgia,Brunswick,GA,3483.0,10389.0,0.2556
Clayton  State University,Morrow,GA,5068.0,15790.0,0.3539
Columbus State University,Columbus,GA,5751.0,16805.0,0.4174
Covenant College,Lookout Mountain,GA,40464.0,40464.0,0.7186
Dalton State College,Dalton,GA,3283.0,10189.0,0.2959
South University-Savannah,Savannah,GA,18238.0,18238.0,0.2273
East Georgia State College,Swainsboro,GA,2736.0,9088.0,0.1376
Emmanuel University,Franklin Springs,GA,23664.0,23664.0,0.346
Emory University,Atlanta,GA,60774.0,60774.0,0.9176
Georgia Highlands College,Rome,GA,2944.0,9296.0,0.2079
Fort Valley State University,Fort Valley,GA,5392.0,16114.0,0.4519
Georgia Institute of Technology-Main Campus,Atlanta,GA,11764.0,32876.0,0.9228
Georgia Southwestern State University,Americus,GA,4980.0,15702.0,0.3191
Georgia College & State University,Milledgeville,GA,8998.0,28178.0,0.6157
Georgia Southern University,Statesboro,GA,5905.0,16959.0,0.5205
Georgia State University,Atlanta,GA,8478.0,23709.0,0.5372
University of Georgia,Athens,GA,11180.0,30220.0,0.8716
Gordon State College,Barnesville,GA,3475.0,10381.0,0.1731
LaGrange College,Lagrange,GA,34540.0,34540.0,0.4176
Life University,Marietta,GA,15036.0,15036.0,0.3214
Herzing University-Atlanta,Atlanta,GA,13420.0,13420.0,0.2917
Mercer University,Macon,GA,40890.0,40890.0,0.7339
Morehouse College,Atlanta,GA,31725.0,31725.0,0.5267
Morris Brown College,Atlanta,GA,9558.0,9558.0,1.0
Oglethorpe University,Atlanta,GA,45806.0,45806.0,0.5392
Paine College,Augusta,GA,14596.0,14596.0,0.2169
Piedmont University,Demorest,GA,30680.0,30680.0,0.4146
Reinhardt University,Waleska,GA,28420.0,28420.0,0.3562
Savannah College of Art and Design,Savannah,GA,40595.0,40595.0,0.7048
Savannah State University,Savannah,GA,5498.0,16218.0,0.2517
Shorter University,Rome,GA,24044.0,24044.0,0.3708
Spelman College,Atlanta,GA,30058.0,30058.0,0.761
Thomas University,Thomasville,GA,11640.0,11640.0,0.2778
Toccoa Falls College,Toccoa Falls,GA,23250.0,23250.0,0.4601
Truett McConnell University,Cleveland,GA,25568.0,25568.0,0.4115
Valdosta State University,Valdosta,GA,6007.0,17062.0,0.4174
Wesleyan College,Macon,GA,27650.0,27650.0,0.6056
University of West Georgia,Carrollton,GA,5971.0,17024.0,0.4272
Young Harris College,Young Harris,GA,32305.0,32305.0,0.4566
Chaminade University of Honolulu,Honolulu,HI,29970.0,29970.0,0.5814
University of Hawaii at Hilo,Hilo,HI,7838.0,20798.0,0.4163
University of Hawaii at Manoa,Honolulu,HI,12186.0,34218.0,0.6257
Hawaii Pacific University,Honolulu,HI,33020.0,33020.0,0.4121
University of Hawaii Maui College,Kahului,HI,3284.0,8420.0,0.2734
